nombre,Fortalezas,Debilidades
Aquaman,"['Control sobre animales marinos', 'Fuerza sobrehumana', 'Durabilidad', 'Habilidades de combate', 'Comunicación telepática con la vida marina']","['Necesidad de estar en contacto con el agua regularmente', 'Vulnerabilidad a la deshidratación']"
Ares,"['Fuerza y durabilidad sobrehumana', 'Habilidades mágicas', 'Control sobre el caos y la guerra', 'Inmortalidad']",['Dependencia del caos y conflicto para mantener su poder']
Atom Smasher,"['Cambio de tamaño', 'Fuerza incrementada con el tamaño', 'Resistencia']","['Difícil de controlar su tamaño', 'Problemas con la coordinación al cambiar de tamaño']"
Batman,"['Inteligencia de nivel genio', 'Maestro en artes marciales', 'Detección avanzada', 'Equipamiento y gadgets', 'Habilidades de detective']","['Humano sin poderes sobrenaturales', 'Vulnerabilidad física']"
Black Adam,"['Fuerza sobrehumana', 'Velocidad', 'Magia', 'Vuelo', 'Resistencia a la magia']","['Vulnerable a la magia poderosa', 'Arrogancia']"
Black Canary,"['Grito sónico', 'Habilidades de combate']",['Humana sin poderes sobrenaturales fuera de su grito']
Black Manta,"['Habilidades de combate', 'Tecnología avanzada']",['Humano sin poderes sobrenaturales']
Black Mask,"['Estratega criminal', 'Habilidades de combate']",['Humano sin poderes sobrenaturales']
Bloodsport,"['Experto en armas', 'Habilidades de combate']",['Humano sin poderes sobrenaturales']
Captain Boomerang,"['Habilidad con boomerangs', 'Habilidades de combate']",['Humano sin poderes sobrenaturales']
Cassandra Cain,"['Habilidades de combate', 'Experta en artes marciales']",['Humana sin poderes sobrenaturales']
Cheetah,"['Fuerza y agilidad sobrehumana', 'Habilidades de combate']",['Dependencia de la transformación']
Cyborg,"['Tecnología avanzada', 'Fuerza sobrehumana', 'Habilidades de hackeo']",['Dependencia de su tecnología']
Cyclone,"['Control del viento', 'Vuelo']",['Vulnerabilidad física']
Dark Flash,"['Velocidad sobrehumana', 'Reflejos rápidos']",['Dependencia de la Speed Force']
Darkseid,"['Fuerza y durabilidad sobrehumana', 'Habilidades mágicas', 'Control sobre el caos y la guerra', 'Inmortalidad']",['Dependencia del caos y conflicto para mantener su poder']
Deadshot,"['Experto en armas', 'Habilidades de combate']",['Humano sin poderes sobrenaturales']
Doctor Fate,"['Habilidades mágicas', 'Inmortalidad', 'Vuelo']",['Dependencia del casco']
Doctor Sivana,"['Intelecto de nivel genio', 'Habilidades científicas']",['Humano sin poderes sobrenaturales']
Doomsday,"['Fuerza y durabilidad sobrehumana', 'Habilidades de combate']",['Vulnerable a la magia']
El Diablo,"['Control del fuego', 'Habilidades de combate']",['Humano sin poderes sobrenaturales fuera de su control de fuego']
Enchantress,"['Habilidades mágicas', 'Control mental']",['Dependencia de su magia']
Envy,['Habilidades de combate'],['Dependencia de la envidia']
Faora,"['Fuerza y durabilidad sobrehumana', 'Habilidades de combate']",['Vulnerable a la kryptonita']
Freddy Freeman,"['Fuerza sobrehumana', 'Velocidad', 'Vuelo']",['Dependencia de la magia de Shazam']
General Zod,"['Fuerza y durabilidad sobrehumana', 'Habilidades de combate']",['Vulnerable a la kryptonita']
Gluttony,['Fuerza sobrehumana'],['Dependencia de la gula']
Green Lantern,"['Creación de construcciones de luz sólida', 'Vuelo', 'Viaje interestelar', 'Resistencia']","['Vulnerabilidad al color amarillo (dependiendo de la versión)', 'Dependencia del anillo y su carga']"
Harley Quinn,"['Habilidades de combate', 'Inteligencia']",['Humana sin poderes sobrenaturales']
Hawkman,"['Vuelo', 'Fuerza sobrehumana', 'Habilidades de combate']",['Dependencia de su armadura']
Hespera,['Habilidades mágicas'],['Dependencia de su magia']
Huntress,"['Habilidades de combate', 'Experta en armas']",['Humana sin poderes sobrenaturales']
Incubus,['Habilidades de combate'],['Dependencia de la lujuria']
Joker,"['Inteligencia', 'Habilidades estratégicas']",['Humano sin poderes sobrenaturales']
Jor-El,['Inteligencia'],['Humano sin poderes sobrenaturales']
Judomaster,"['Habilidades de combate', 'Experta en artes marciales']",['Humana sin poderes sobrenaturales']
Karathen,"['Fuerza sobrehumana', 'Habilidades de combate']",['Vulnerabilidad física']
Katana,"['Habilidades de combate', 'Experta en armas']",['Humana sin poderes sobrenaturales']
Killer Croc,"['Fuerza sobrehumana', 'Habilidades de combate']",['Vulnerabilidad física']
King Nereus,"['Fuerza sobrehumana', 'Habilidades de combate']",['Necesidad de estar en contacto con el agua regularmente']
King Shark,"['Fuerza sobrehumana', 'Habilidades de combate']",['Vulnerabilidad física']
Lex Luthor,"['Inteligencia', 'Habilidades estratégicas']",['Humano sin poderes sobrenaturales']
Lust,['Habilidades de combate'],['Dependencia de la lujuria']
Mera,"['Control sobre el agua', 'Habilidades de combate']",['Necesidad de estar en contacto con el agua regularmente']
Mister Zsasz,['Habilidades de combate'],['Humano sin poderes sobrenaturales']
Nam-Ek,"['Fuerza sobrehumana', 'Habilidades de combate']",['Vulnerable a la kryptonita']
Nuidis Vulko,"['Inteligencia', 'Habilidades estratégicas']",['Humano sin poderes sobrenaturales']
Ocean Master,"['Fuerza sobrehumana', 'Habilidades de combate']",['Necesidad de estar en contacto con el agua regularmente']
Parademon,"['Fuerza sobrehumana', 'Habilidades de combate']",['Dependencia de Darkseid']
Peacemaker,"['Habilidades de combate', 'Experto en armas']",['Humano sin poderes sobrenaturales']
Penthesileia,['Habilidades de combate'],['Humana sin poderes sobrenaturales']
Philippus,['Habilidades de combate'],['Humana sin poderes sobrenaturales']
Polka-Dot Man,['Habilidades de combate'],['Humano sin poderes sobrenaturales']
Queen Atlanna,"['Control sobre el agua', 'Habilidades de combate']",['Necesidad de estar en contacto con el agua regularmente']
Queen Hippolyta,"['Fuerza sobrehumana', 'Habilidades de combate', 'Inmortalidad']",['Dependencia de la inmortalidad']
Ratcatcher,"['Control sobre ratas', 'Habilidades de combate']",['Humano sin poderes sobrenaturales']
Rick Flag,"['Habilidades de combate', 'Liderazgo']",['Humano sin poderes sobrenaturales']
Sabbac,"['Fuerza sobrehumana', 'Habilidades mágicas', 'Vuelo']",['Dependencia de la magia']
Savant,"['Intelecto de nivel genio', 'Habilidades de combate']",['Humano sin poderes sobrenaturales']
Shazam,"['Fuerza sobrehumana', 'Velocidad', 'Vuelo', 'Magia']",['Dependencia de la magia de Shazam']
Slipknot,"['Habilidad con cuerdas', 'Habilidades de combate']",['Humano sin poderes sobrenaturales']
Sol Soria,['Habilidades de combate'],['Humana sin poderes sobrenaturales']
Starro,"['Control mental', 'Regeneración', 'Fuerza sobrehumana']",['Vulnerabilidad a la separación física']
Steppenwolf,"['Fuerza sobrehumana', 'Habilidades de combate', 'Inmortalidad']",['Dependencia de Darkseid']
Supergirl,"['Fuerza sobrehumana', 'Velocidad', 'Vuelo', 'Visión de rayos X', 'Invulnerabilidad', 'Visión calorífica', 'Aliento helado']","['Kryptonita', 'Magia']"
Superman,"['Fuerza sobrehumana', 'Velocidad', 'Vuelo', 'Visión de rayos X', 'Invulnerabilidad', 'Visión calorífica', 'Aliento helado']","['Kryptonita', 'Magia']"
T.D.K.,"['Desprendimiento de extremidades', 'Habilidades de combate']",['Humano sin poderes sobrenaturales fuera de su habilidad']
The Flash,"['Velocidad sobrehumana', 'Reflejos rápidos', 'Intangibilidad', 'Viaje en el tiempo', 'Curación acelerada']","['Fuerzas de fricción extremas', 'Dependencia de la Speed Force']"
Vigilante,"['Habilidades de combate', 'Experto en armas']",['Humano sin poderes sobrenaturales']
White Dragon,"['Habilidades de combate', 'Tecnología avanzada']",['Humano sin poderes sobrenaturales']
Wonder Woman (Armor of Asteria),"['Fuerza sobrehumana', 'Habilidades de combate', 'Vuelo', 'Agilidad', 'Resistencia']",['Dependencia de la verdad']
Wrath,['Habilidades de combate'],['Humano sin poderes sobrenaturales']
Zeus,"['Habilidades mágicas', 'Inmortalidad', 'Control del rayo']",['Dependencia de su magia']
A-Train,['Velocidad sobrehumana'],"['Problemas cardíacos', 'Dependencia de Compuesto V']"
Billy Butcher,"['Habilidades de combate', 'Liderazgo']","['Humano sin poderes sobrenaturales', 'Impulsividad']"
Billy Butcher (V24),"['Fuerza sobrehumana (temporal)', 'Habilidades de combate']","['Efectos secundarios de V24', 'Tiempo limitado de poderes']"
Billy Butchter (tumor),['Desconocido'],['Desconocido']
Black Noir (replacement),"['Habilidades de combate', 'Sigilo']",['Desconocido']
Black Noir,"['Habilidades de combate', 'Resistencia sobrehumana']","['Vulnerabilidad a heridas graves', 'Trauma psicológico']"
Cate Dunlap,['Habilidades desconocidas'],['Desconocido']
Crimson Countess,"['Manipulación de energía', 'Vuelo']","['Dependencia emocional', 'Humano sin invulnerabilidad']"
Firecracker,['Piroquinesis'],['Desconocido']
Golden Boy,"['Fuerza sobrehumana', 'Piroquinesis']","['Arrogancia', 'Impulsividad']"
Homelander,"['Fuerza sobrehumana', 'Vuelo', 'Visión calorífica', 'Invulnerabilidad']","['Inestabilidad mental', 'Narcisismo']"
Hughie Campbell (V24),"['Fuerza sobrehumana (temporal)', 'Teleportación (temporal)']","['Efectos secundarios de V24', 'Tiempo limitado de poderes']"
Lamplighter,['Manipulación del fuego'],"['Dependencia emocional', 'Trauma psicológico']"
Little Cricket,['Cambio de tamaño'],['Vulnerabilidad física cuando es pequeña']
Marie Moreau,['Control de la sangre'],['Desconocido']
Mesmer,['Lectura de mentes'],"['Vulnerabilidad física', 'Humano sin poderes de combate']"
Mother's Milk,"['Habilidades de combate', 'Estrategia']","['Humano sin poderes sobrenaturales', 'Trauma emocional']"
Naqib,['Explosión de energía'],['Desconocido']
Queen Maeve,"['Fuerza sobrehumana', 'Habilidades de combate']","['Dependencia emocional', 'Humano sin invulnerabilidad total']"
Ryan Butcher,"['Fuerza sobrehumana', 'Vuelo', 'Visión calorífica']","['Inexperiencia', 'Emocionalmente inestable']"
Sam Riordan,['Desconocido'],['Desconocido']
Shockwave,['Velocidad sobrehumana'],"['Competencia con A-Train', 'Dependencia de Compuesto V']"
Sister Sage,['Desconocido'],['Desconocido']
Soldier Boy,"['Fuerza sobrehumana', 'Habilidades de combate', 'Resistencia']","['Trauma psicológico', 'Narcisismo']"
Splinter,['Desconocido'],['Desconocido']
Starlight,"['Manipulación de la luz', 'Vuelo']","['Dependencia emocional', 'Humano sin invulnerabilidad total']"
Stormfront,"['Manipulación de electricidad', 'Vuelo', 'Fuerza sobrehumana']","['Ideología extremista', 'Vulnerabilidad emocional']"
Supe Terrorist,['Desconocido'],['Desconocido']
Tek Knight,"['Tecnología avanzada', 'Habilidades de combate']",['Humano sin poderes sobrenaturales']
The Deep,"['Comunicación con la vida marina', 'Habilidades de combate']","['Inestabilidad emocional', 'Humano sin invulnerabilidad']"
The Female,"['Fuerza sobrehumana', 'Habilidades de combate', 'Regeneración']",['Trauma emocional']
Translucent,"['Invisibilidad', 'Piel a prueba de balas']",['Vulnerabilidad a explosivos internos']
Victoria Neuman,['Explosión de cabezas'],"['Secretismo', 'Humano sin invulnerabilidad']"
Webweaver,['Desconocido'],['Desconocido']
Zoe Neuman,['Desconocido'],['Desconocido']
Agatha Harkness,"['Magia oscura', 'Manipulación mágica']",['Necesita absorber la magia de otros para mantener su poder']
Abomination,"['Fuerza sobrehumana', 'Resistencia']",['Vulnerable a ataques mentales']
Ajak,"['Curación', 'Fuerza y durabilidad sobrehumanas']",['Vulnerable a traiciones de otros Eternos']
Ancient One (time stone),"['Manipulación del tiempo', 'Magia avanzada']",['Dependencia de la Piedra del Tiempo']
Ancient One,"['Magia avanzada', 'Longevidad']",['Vulnerabilidad física sin la Piedra del Tiempo']
Ant-Man,"['Cambio de tamaño', 'Fuerza incrementada al reducirse']",['Dependencia de la tecnología del traje']
Arishem The Judge,"['Poder cósmico', 'Control sobre los Celestiales']",['Desconocido']
Ayo,"['Habilidades de combate', 'Lealtad']",['Humana sin poderes sobrenaturales']
Baby Groot,"['Regeneración', 'Habilidades de combate']",['Vulnerabilidad al fuego']
Baron Mordo,"['Magia avanzada', 'Habilidades de combate']","['Arrogancia', 'Desconfianza']"
Baron Zemo,"['Inteligencia estratégica', 'Habilidades de combate']",['Humano sin poderes sobrenaturales']
Black Bolt (Earth 838),"['Voz destructiva', 'Fuerza sobrehumana']",['Vulnerabilidad al control mental']
Black Bolt,"['Voz destructiva', 'Fuerza sobrehumana']",['Vulnerabilidad al control mental']
Black Panther,"['Fuerza sobrehumana', 'Habilidades de combate', 'Traje avanzado']",['Dependencia del traje y hierba en forma de corazón']
Black Panther,"['Fuerza sobrehumana', 'Habilidades de combate', 'Traje avanzado']",['Dependencia del traje y hierba en forma de corazón']
Black Widow,"['Habilidades de combate', 'Espionaje']",['Humana sin poderes sobrenaturales']
Black Widow,"['Habilidades de combate', 'Espionaje']",['Humana sin poderes sobrenaturales']
Bucky Barnes,"['Fuerza sobrehumana', 'Brazo biónico', 'Habilidades de combate']","['Trauma psicológico', 'Programación mental']"
Bullseye,"['Precisión letal', 'Habilidades de combate']",['Humano sin poderes sobrenaturales']
Captain America,"['Fuerza sobrehumana', 'Liderazgo', 'Habilidades de combate']",['Humano con límites físicos']
Captain America (Worthy),"['Fuerza sobrehumana', 'Liderazgo', 'Habilidades de combate', 'Puede manejar el Mjolnir']",['Humano con límites físicos']
Captain Carter (Earth 838),"['Fuerza sobrehumana', 'Liderazgo', 'Habilidades de combate']",['Humana con límites físicos']
Captain Marvel,"['Fuerza sobrehumana', 'Vuelo', 'Energía fotónica']","['Arrogancia', 'Dependencia de sus poderes']"
Chitauri Footsoldier,"['Fuerza sobrehumana', 'Armas avanzadas']",['Inteligencia limitada']
Corvus Glaive,"['Fuerza sobrehumana', 'Habilidades de combate']",['Dependencia de su lanza']
Crossbones,"['Fuerza mejorada', 'Habilidades de combate']",['Humano sin poderes sobrenaturales']
Cull Obsidian,"['Fuerza sobrehumana', 'Resistencia']",['Inteligencia limitada']
Dar-Benn,['Desconocido'],['Desconocido']
Daredevil,"['Sentidos mejorados', 'Habilidades de combate']",['Humano sin poderes sobrenaturales']
Deathlok,"['Fuerza sobrehumana', 'Habilidades de combate', 'Tecnología avanzada']",['Dependencia de su tecnología']
Destroyer,"['Fuerza sobrehumana', 'Resistencia', 'Armamento avanzado']",['Controlado externamente']
Doctor Strange,"['Magia avanzada', 'Manipulación del tiempo (con la Piedra del Tiempo)']",['Dependencia de artefactos mágicos']
Dormammu,"['Poder cósmico', 'Inmortalidad']",['Vulnerabilidad a la manipulación del tiempo']
Drax The Destroyer,"['Fuerza sobrehumana', 'Resistencia']",['Inteligencia limitada']
Ebony Maw,"['Telequinesis', 'Inteligencia']",['Vulnerabilidad física']
Echo,"['Habilidades de combate', 'Mimetismo']",['Humana sin poderes sobrenaturales']
Ego,"['Poder cósmico', 'Manipulación de materia']",['Dependencia de su núcleo']
Elektra,"['Habilidades de combate', 'Sigilo']",['Humana sin poderes sobrenaturales']
Eternity,"['Poder cósmico', 'Omnisciencia']",['Desconocido']
Falcon,"['Habilidades de combate', 'Vuelo con traje alado']",['Humano sin poderes sobrenaturales']
Fandral,"['Habilidades de combate', 'Inmortalidad']",['Desconocido']
Fat Thor,"['Fuerza sobrehumana', 'Control del rayo', 'Resistencia']",['Estado emocional inestable']
Fenris,"['Fuerza sobrehumana', 'Resistencia']",['Vulnerabilidad a armas asgardianas']
Frigga,"['Magia avanzada', 'Habilidades de combate']",['Humana con límites físicos']
G'iah,['Desconocido'],['Desconocido']
Gamora,"['Fuerza sobrehumana', 'Habilidades de combate']",['Dependencia emocional']
Gargantos,"['Fuerza sobrehumana', 'Múltiples tentáculos']",['Desconocido']
Ghost,"['Intangibilidad', 'Invisibilidad']",['Dependencia de su traje']
Ghost Rider,"['Piroquinesis', 'Inmortalidad']",['Vulnerabilidad emocional']
Giant-Man,"['Cambio de tamaño', 'Fuerza incrementada']",['Dependencia de la tecnología del traje']
Gilgamesh,"['Fuerza sobrehumana', 'Habilidades de combate']",['Desconocido']
Gorr The God Butcher,"['Fuerza sobrehumana', 'Habilidades de combate']",['Dependencia de la Necrosword']
Gravik,['Desconocido'],['Desconocido']
Groot,"['Regeneración', 'Fuerza sobrehumana']",['Vulnerabilidad al fuego']
Hawkeye,"['Precisión', 'Habilidades de combate']",['Humano sin poderes sobrenaturales']
Hawkeye,"['Precisión', 'Habilidades de combate']",['Humano sin poderes sobrenaturales']
Heimdall,"['Sentidos mejorados', 'Fuerza sobrehumana']",['Desconocido']
Hela,"['Fuerza sobrehumana', 'Control sobre armas']",['Dependencia de Asgard']
High Evolutionary,"['Inteligencia avanzada', 'Manipulación genética']",['Arrogancia']
Hulk (Stark Gauntlet),"['Fuerza sobrehumana', 'Regeneración']",['Efectos secundarios del Gauntlet']
Hulk,"['Fuerza sobrehumana', 'Regeneración']",['Falta de control en su forma de Hulk']
Ikaris,"['Vuelo', 'Fuerza sobrehumana', 'Proyección de energía']",['Vulnerabilidad emocional']
Iron Fist,"['Puño de hierro', 'Habilidades de combate']",['Dependencia de Chi']
Iron Man,"['Inteligencia', 'Tecnología avanzada']",['Humano sin poderes sobrenaturales']
Iron Man (Mk 1),"['Inteligencia', 'Tecnología avanzada']",['Humano sin poderes sobrenaturales']
Iron Man (Stark Gauntlet),"['Inteligencia', 'Tecnología avanzada']",['Efectos secundarios del Gauntlet']
Iron Man (Hulkbuster),"['Fuerza incrementada', 'Tecnología avanzada']",['Dependencia de la tecnología del traje']
Iron Monger,"['Fuerza incrementada', 'Tecnología avanzada']",['Dependencia de la tecnología del traje']
Iron Spider,"['Fuerza sobrehumana', 'Tecnología avanzada']",['Dependencia de la tecnología del traje']
Ironheart,"['Inteligencia', 'Tecnología avanzada']",['Humana sin poderes sobrenaturales']
Jemiah The Analyzer,"['Poder cósmico', 'Inteligencia avanzada']",['Desconocido']
Jessica Jones,"['Fuerza sobrehumana', 'Resistencia']",['Trauma emocional']
Kaecilius,"['Magia avanzada', 'Habilidades de combate']",['Arrogancia']
Kang the Conqueror,"['Manipulación del tiempo', 'Inteligencia avanzada']",['Dependencia de la tecnología']
Killian,"['Poder de regeneración', 'Fuerza sobrehumana']",['Inestabilidad emocional']
Killmonger,"['Fuerza sobrehumana', 'Habilidades de combate']",['Arrogancia']
Kingo,"['Proyección de energía', 'Inmortalidad']",['Dependencia emocional']
Kingpin,"['Fuerza incrementada', 'Habilidades de combate']",['Humano sin poderes sobrenaturales']
Korath The Pursuer,"['Fuerza sobrehumana', 'Tecnología avanzada']",['Desconocido']
Korg,"['Fuerza sobrehumana', 'Resistencia']",['Vulnerabilidad a explosivos']
Kro,"['Fuerza sobrehumana', 'Regeneración']",['Desconocido']
Kurse,"['Fuerza sobrehumana', 'Resistencia']",['Desconocido']
Kid Loki,"['Magia', 'Inteligencia']",['Desconocido']
Lady Loki,"['Magia', 'Inteligencia']",['Desconocido']
Leo Fitz,"['Inteligencia', 'Tecnología avanzada']",['Humano sin poderes sobrenaturales']
